sequential,parallel
0.020151,0.024764
0.020091,0.024589
0.020275,0.032161
0.022623,0.025350
0.020979,0.024766
0.019419,0.028932
0.022133,0.026749
0.021541,0.024905
0.020170,0.029006
0.022559,0.026215
0.020806,0.025411
0.020126,0.025077
0.020266,0.024392
0.020179,0.025494
0.019986,0.014638
0.020116,0.024787
0.020267,0.024864
0.020140,0.024891
0.020167,0.024458
0.019336,0.029284
0.023848,0.026459
0.021503,0.024832
0.020198,0.023870
0.020195,0.028440
0.021064,0.029398
0.020112,0.027333
0.022185,0.028419
0.025211,0.023151
0.019243,0.022796
0.019523,0.024790
0.020257,0.024880
0.020170,0.024362
0.020624,0.025600
0.020254,0.025738
0.020243,0.024559
0.020325,0.024221
0.020381,0.025020
0.019569,0.024475
0.021797,0.027164
0.020533,0.025105
0.021281,0.024671
0.020165,0.024779
0.020302,0.024807
0.020191,0.034241
0.012039,0.028189
0.022944,0.028542
0.018962,0.027614
0.024544,0.031583
0.023462,0.027594
0.021554,0.025026
0.020171,0.024676
0.019389,0.024296
0.020573,0.024718
0.020232,0.024551
0.020086,0.025776
0.020066,0.024832
0.020619,0.024883
0.019999,0.024718
0.020146,0.024650
0.018934,0.032296
0.022727,0.033040
0.023811,0.031971
0.022432,0.024893
0.020826,0.032103
0.018854,0.021258
0.018458,0.021179
0.018479,0.025859
0.020706,0.013835
0.020244,0.025283
0.020179,0.025191
0.020101,0.033141
0.012863,0.022729
0.018772,0.027789
0.023010,0.024839
0.020210,0.026215
0.020321,0.025604
0.020206,0.024795
0.020457,0.025160
0.020248,0.024975
0.020294,0.024622
0.020481,0.024446
0.020177,0.024663
0.020244,0.024829
0.020147,0.024775
0.020202,0.024263
0.019493,0.032027
0.022517,0.026750
0.020310,0.023984
0.019527,0.029062
0.022058,0.026591
0.021529,0.024740
0.020150,0.024696
0.020164,0.024665
0.020180,0.024838
0.020238,0.024858
0.020166,0.024454
0.019324,0.024733
0.020526,0.025911
0.020565,0.025204
0.020547,0.024517
0.020005,0.024255
0.020536,0.031786
0.013607,0.031975
0.017208,0.019645
